setting,composition,task_order,round,metric,n_runs_total,n_runs_defined,mean,sd
dyad,Gemini+Gemini,game_myth,5,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game_myth,6,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game_myth,7,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game_myth,8,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game_myth,9,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game_myth,10,send,5,5,1.0,0.0
dyad,GPT+GPT,game_myth,1,send,5,5,0.0,0.0
dyad,GPT+GPT,game_myth,2,send,5,5,0.4,0.282842712474619
dyad,GPT+GPT,game_myth,3,send,5,5,0.6,0.37416573867739417
dyad,GPT+GPT,game_myth,4,send,5,5,0.6,0.2449489742783178
dyad,GPT+GPT,game_myth,5,send,5,5,0.62,0.33466401061363027
dyad,GPT+GPT,game_myth,6,send,5,5,0.58,0.2863564212655271
dyad,GPT+GPT,game_myth,7,send,5,5,0.6,0.31622776601683794
dyad,GPT+GPT,game_myth,8,send,5,5,0.6799999999999999,0.31144823004794875
dyad,GPT+GPT,game_myth,9,send,5,5,0.76,0.2607680962081059
dyad,GPT+GPT,game_myth,10,send,5,5,0.9,0.22360679774997896
dyad,Sonnet+Sonnet,myth_game,1,send,5,5,0.74,0.24083189157584592
dyad,Sonnet+Sonnet,myth_game,2,send,5,5,0.6648000000000001,0.18707004035921948
dyad,Sonnet+Sonnet,myth_game,3,send,5,5,0.64,0.16733200530681513
dyad,Sonnet+Sonnet,myth_game,4,send,5,5,0.6348,0.163875562546708
dyad,Sonnet+Sonnet,myth_game,5,send,5,5,0.6599999999999999,0.13416407864998742
dyad,Sonnet+Sonnet,myth_game,6,send,5,5,0.6348,0.163875562546708
dyad,Sonnet+Sonnet,myth_game,7,send,5,5,0.6599999999999999,0.13416407864998742
dyad,Sonnet+Sonnet,myth_game,8,send,5,5,0.6348,0.163875562546708
dyad,Sonnet+Sonnet,myth_game,9,send,5,5,0.6599999999999999,0.13416407864998742
