model,num_agents,population,condition,condition_label,treatment,treatment_label,receiver_scope,round,metric,n_runs,mean,ci_low,ci_high
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,7,forced_receiver_rate,5,0.2,-0.3552890210395598,0.7552890210395597
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,8,return_proportion,2,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,8,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,8,forced_receiver_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,9,return_proportion,2,0.25,-2.926551184108024,3.426551184108024
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,9,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,9,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,10,return_proportion,1,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,10,zero_receipt_rate,5,0.8,0.24471097896044036,1.3552890210395598
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,all,10,forced_receiver_rate,5,0.2,-0.3552890210395599,0.75528902103956
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,1,return_proportion,4,0.3819444444444444,0.3064574754500975,0.45743141343879135
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,1,zero_receipt_rate,5,0.2,-0.3552890210395599,0.75528902103956
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,1,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,2,return_proportion,5,0.22222222222222224,-0.031231380076384124,0.47567582452082857
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,2,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,2,forced_receiver_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,3,return_proportion,4,0.25,-0.015203858773688628,0.5152038587736887
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,3,zero_receipt_rate,5,0.2,-0.3552890210395599,0.75528902103956
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,3,forced_receiver_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,4,return_proportion,4,0.1111111111111111,-0.24249403392047364,0.46471625614269585
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,4,zero_receipt_rate,5,0.2,-0.3552890210395598,0.7552890210395597
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,4,forced_receiver_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,5,return_proportion,2,0.18333333333333335,-2.146137535012551,2.5128042016792174
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,5,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,5,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,6,return_proportion,2,0.5111111111111111,-0.05360909939698211,1.0758313216192041
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,6,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,6,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,7,return_proportion,2,0.23333333333333334,-2.7314477718341554,3.198114438500822
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,7,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,7,forced_receiver_rate,5,0.2,-0.3552890210395598,0.7552890210395597
