fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
agent,2-agent mixed,investor,"own + shown label, own lag",shown_label,be generous,-0.0002752459247442416,-0.018617562309655354,0.018067070460166874,0.9765365288883159,286,36
agent,2-agent mixed,investor,"own + shown label, own lag",coop_lag_same_role,,0.12785234015582883,-0.020674083066889948,0.2763787633785476,0.09157499547104384,286,36
agent,2-agent mixed,investor,"own + shown label, no lag",own_label,be cautious,0.1679471236899709,0.02762721831688994,0.3082670290630518,0.01898343217752809,304,36
agent,2-agent mixed,investor,"own + shown label, no lag",own_label,be generous,0.0298308930219539,-0.0031794873064851514,0.06284127335039295,0.07653001598314778,304,36
agent,2-agent mixed,investor,"own + shown label, no lag",shown_label,be cautious,0.0607764563568407,-0.001224407500029591,0.12277732021371099,0.05469916921867145,304,36
agent,2-agent mixed,investor,"own + shown label, no lag",shown_label,be generous,-0.010278584749146993,-0.030843801251389233,0.010286631753095245,0.32728432927601014,304,36
agent,2-agent mixed,trustee,"own + shown label, own lag",own_label,be cautious,0.03852931809149321,-0.029573392421866712,0.10663202860485313,0.267492455781848,281,36
agent,2-agent mixed,trustee,"own + shown label, own lag",own_label,be generous,-0.014086032410617039,-0.03529645825342968,0.007124393432195605,0.19304306666493998,281,36
agent,2-agent mixed,trustee,"own + shown label, own lag",shown_label,be cautious,0.011971964617863635,-0.04023043621871354,0.06417436545444082,0.6530759776355024,281,36
agent,2-agent mixed,trustee,"own + shown label, own lag",shown_label,be generous,0.0005020363510223367,-0.020764695415914837,0.02176876811795951,0.9630964935650406,281,36
agent,2-agent mixed,trustee,"own + shown label, own lag",coop_lag_same_role,,-0.029286687251677726,-0.15469116504532826,0.09611779054197282,0.6471495224942498,281,36
agent,2-agent mixed,trustee,"own + shown label, no lag",own_label,be cautious,0.04184946036356202,-0.020125979027907227,0.10382489975503126,0.18567483479937363,305,36
agent,2-agent mixed,trustee,"own + shown label, no lag",own_label,be generous,-0.022749636447232945,-0.04523422416328718,-0.00026504873117871516,0.04735982596127364,305,36
agent,2-agent mixed,trustee,"own + shown label, no lag",shown_label,be cautious,0.0018304978334528724,-0.04312493561781866,0.0467859312847244,0.9363916140654674,305,36
agent,2-agent mixed,trustee,"own + shown label, no lag",shown_label,be generous,0.0070701003135083245,-0.01729761986503804,0.031437820492054694,0.5695814880117094,305,36
agent,8-agent homogeneous,investor,"own + shown label, own lag",own_label,be cautious,0.06368279429885049,-0.01488664441268453,0.1422522330103855,0.11214908089035262,960,30
agent,8-agent homogeneous,investor,"own + shown label, own lag",own_label,be generous,0.0383419534974636,0.005978343353688631,0.07070556364123858,0.020232028562171715,960,30
agent,8-agent homogeneous,investor,"own + shown label, own lag",shown_label,be cautious,0.12245723165618005,-0.04539236963806462,0.2903068329504247,0.15273953339065227,960,30
agent,8-agent homogeneous,investor,"own + shown label, own lag",shown_label,be generous,-0.016783302828267413,-0.051212821119014894,0.017646215462480068,0.33936506905042985,960,30
agent,8-agent homogeneous,investor,"own + shown label, own lag",coop_lag_same_role,,-0.20524558162770137,-0.30740063775375165,-0.1030905255016511,8.220604076468391e-05,960,30
agent,8-agent homogeneous,investor,"own + shown label, no lag",own_label,be cautious,0.03263424961014926,-0.059353871501590556,0.12462237072188909,0.4868495145388698,1020,30
agent,8-agent homogeneous,investor,"own + shown label, no lag",own_label,be generous,0.031608258717789654,0.0017380868418519074,0.0614784305937274,0.03807834008423844,1020,30
agent,8-agent homogeneous,investor,"own + shown label, no lag",shown_label,be cautious,0.10975354117766749,-0.054255642448484395,0.27376272480381936,0.1896581327838741,1020,30
agent,8-agent homogeneous,investor,"own + shown label, no lag",shown_label,be generous,-0.013970347006452402,-0.04654523523330878,0.018604541220403975,0.4005905366615453,1020,30
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,coplayer_label,be cautious,-0.034901206127191296,-0.11205738426135017,0.04225497200696759,0.3753051868954925,879,30
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,coplayer_label,be generous,-0.03675833747344372,-0.09727657213208908,0.023759897185201648,0.2338625273269863,879,30
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,own_label,be cautious,0.017018074787335035,-0.07145923115264007,0.10549538072731014,0.7061831018198125,879,30
