size,composition,family,partner_family,group,round,p_reads_as_partner_mean,p_reads_as_partner_sd,n_myths
8,1 Gemini + 7 GPT,GPT,Gemini,homogeneous,2,0.011232821495804101,0.008100611434124114,80
8,1 Gemini + 7 GPT,GPT,Gemini,homogeneous,3,0.008203742443000999,0.00459230922580423,80
8,1 Gemini + 7 GPT,GPT,Gemini,homogeneous,4,0.00852935732042832,0.005216489372935054,80
8,1 Gemini + 7 GPT,GPT,Gemini,homogeneous,5,0.006551608579788014,0.00303210215007337,80
8,1 Gemini + 7 GPT,GPT,Gemini,homogeneous,6,0.006257599495809523,0.0029712563246433047,80
8,1 Gemini + 7 GPT,GPT,Gemini,homogeneous,7,0.006721198219233289,0.0035887058459883998,80
8,1 Gemini + 7 GPT,GPT,Gemini,homogeneous,8,0.006075327334631035,0.003200504784167484,80
8,1 Gemini + 7 GPT,GPT,Gemini,homogeneous,9,0.0062000221423438775,0.003186211955421999,80
8,1 Gemini + 7 GPT,GPT,Gemini,homogeneous,10,0.006529506257786142,0.00335509130999842,80
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,1,0.018120924878140456,0.009712732884809583,10
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,2,0.06350471597275106,0.09817714491634547,10
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,3,0.032906550144687144,0.032348515130387424,10
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,4,0.03848875431221289,0.03954735013936308,10
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,5,0.052029275729962875,0.0459611835723061,10
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,6,0.03282020385897261,0.03642812417442943,10
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,7,0.06503498014604776,0.060804367207483695,10
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,8,0.05012095057500436,0.04360692103004397,10
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,9,0.05963271985773903,0.06817998210648887,10
8,1 Gemini + 7 GPT,Gemini,GPT,mixed,10,0.056009400405432466,0.03818320110413008,10
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,1,0.02404792687658739,0.014371817105699902,80
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,2,0.014916166801062886,0.008685392262699545,80
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,3,0.01082862284565928,0.005571553280168902,80
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,4,0.008514479113285572,0.004292280790459556,80
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,5,0.008134106469111741,0.004437800768178995,80
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,6,0.0066801361871054645,0.003680409122906094,80
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,7,0.006930929258374738,0.004397970091980289,80
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,8,0.00558416563177107,0.0026694848426771904,80
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,9,0.00559508277778815,0.0029963863193863886,80
8,1 Gemini + 7 GPT,Gemini,GPT,homogeneous,10,0.005146315521222709,0.0022869395671497104,80
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,1,0.028941677203934035,0.018583458013140364,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,2,0.031038198043012,0.023031416419802088,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,3,0.05427336583671294,0.06671987069171856,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,4,0.06195930380205471,0.07315831041726899,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,5,0.05197514537914444,0.035496211078912744,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,6,0.07769642249413387,0.06440380687489321,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,7,0.07644106730963904,0.06666965846247572,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,8,0.14103659766771007,0.11302116981748304,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,9,0.12268217688350094,0.09343714014492618,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,mixed,10,0.18808808823141912,0.22149888203889204,20
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,1,0.039467753248596804,0.03334062118613258,80
