setting,task_order,direction,outcome,n_games,n_runs,slope_per_0.1,ci_low,ci_high,p,sd_x_within_run
8-agent homogeneous,myth_game,myths after the game,sent_frac,540,15,-0.014162593775019007,-0.027587515107422845,-0.0007376724426151643,0.03867199955603271,0.06750107122727454
8-agent homogeneous,myth_game,myths after the game,return_proportion,477,15,-0.0020998301529448252,-0.009357735494461039,0.005158075188571389,0.5706805628485396,0.07006593320119205
8-agent homogeneous,myth_game,myths after the game,giving_gap,477,15,-0.0035453322517367773,-0.01455178084078524,0.007461116337311684,0.5278234484292863,0.07006593320119205
"8-agent mixed, cross family",game_myth,myths before the game,sent_frac,426,30,0.007994502286486264,-0.027470033237970027,0.04345903781094255,0.6586195571618123,0.07616853681509465
"8-agent mixed, cross family",game_myth,myths before the game,return_proportion,394,30,-0.0038209123940314144,-0.012403071591787435,0.004761246803724606,0.3828774197835474,0.07636965734544834
"8-agent mixed, cross family",game_myth,myths before the game,giving_gap,394,30,0.0017640926623600157,-0.016090003382154452,0.019618188706874484,0.8464450157503852,0.07636965734544834
"8-agent mixed, cross family",game_myth,myths after the game,sent_frac,484,30,0.016113965648467992,-0.016714988918623143,0.04894292021555913,0.33602913094444564,0.07320440378873326
"8-agent mixed, cross family",game_myth,myths after the game,return_proportion,425,30,-0.004650355766845193,-0.017422818643695697,0.008122107110005309,0.4754696998822743,0.07375292965876676
"8-agent mixed, cross family",game_myth,myths after the game,giving_gap,425,30,-0.01077331947604128,-0.03081446308170604,0.009267824129623485,0.2920667916518003,0.07375292965876676
"8-agent mixed, cross family",myth_game,myths before the game,sent_frac,484,30,0.004682453494426641,-0.01903475054570702,0.028399657534560297,0.6987910983001682,0.07170331592892558
"8-agent mixed, cross family",myth_game,myths before the game,return_proportion,472,30,-0.0012216925144803632,-0.01118123104150074,0.008737846012540015,0.8100045913293161,0.07172626924812622
"8-agent mixed, cross family",myth_game,myths before the game,giving_gap,472,30,0.0008458909318542096,-0.017138857881582384,0.018830639745290804,0.9265514225818967,0.07172626924812622
"8-agent mixed, cross family",myth_game,myths after the game,sent_frac,442,30,0.02641920217764226,-0.0040878352139223865,0.05692623956920691,0.08963320465426652,0.07293014203685046
"8-agent mixed, cross family",myth_game,myths after the game,return_proportion,431,30,-0.0037258679228520195,-0.015333521298142111,0.007881785452438074,0.5292727509447928,0.07262935469978256
