fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
run,2-agent mixed,investor,"own + shown label, no lag",own_label,be generous,0.028248975634873705,0.007778674783105399,0.04871927648664201,0.006835652972576945,304,36
run,2-agent mixed,investor,"own + shown label, no lag",shown_label,be cautious,0.04052371257115674,-0.0044958932246062094,0.0855433183669197,0.0776929721278026,304,36
run,2-agent mixed,investor,"own + shown label, no lag",shown_label,be generous,-0.008896790304765182,-0.03614356092676277,0.01834998031723241,0.5221855944986984,304,36
run,2-agent mixed,trustee,"own + shown label, own lag",own_label,be cautious,0.05443205873639861,-0.022077297100980477,0.1309414145737777,0.16319594498198486,281,36
run,2-agent mixed,trustee,"own + shown label, own lag",own_label,be generous,-0.004344091668811182,-0.02008717705990583,0.011398993722283469,0.588627812816094,281,36
run,2-agent mixed,trustee,"own + shown label, own lag",shown_label,be cautious,0.012516432960087415,-0.028551479083315644,0.05358434500349047,0.5502763201520628,281,36
run,2-agent mixed,trustee,"own + shown label, own lag",shown_label,be generous,0.00636385288829628,-0.017008770267964424,0.029736476044556984,0.5935800927624382,281,36
run,2-agent mixed,trustee,"own + shown label, own lag",coop_lag_same_role,,0.20959718467163374,0.08000573445663542,0.3391886348866321,0.0015244688852258485,281,36
run,2-agent mixed,trustee,"own + shown label, no lag",own_label,be cautious,0.054804073845731494,0.0064527990101533525,0.10315534868130963,0.0263148005735549,305,36
run,2-agent mixed,trustee,"own + shown label, no lag",own_label,be generous,-0.011782062610093166,-0.027685487078130497,0.004121361857944164,0.1464903101027017,305,36
run,2-agent mixed,trustee,"own + shown label, no lag",shown_label,be cautious,0.004224263071176342,-0.03510780459251125,0.04355633073486393,0.8332773874239479,305,36
run,2-agent mixed,trustee,"own + shown label, no lag",shown_label,be generous,0.01122743923000643,-0.012356738859396602,0.03481161731940946,0.35079066884009336,305,36
run,8-agent homogeneous,investor,"own + shown label, own lag",own_label,be cautious,-0.017087315683695987,-0.03700951031272156,0.0028348789453295845,0.09275010243753579,960,30
run,8-agent homogeneous,investor,"own + shown label, own lag",own_label,be generous,0.013624276474808019,-0.0065276435300400445,0.03377619647965608,0.18514157356157956,960,30
run,8-agent homogeneous,investor,"own + shown label, own lag",shown_label,be cautious,0.038442178385724515,-0.06853471162779898,0.145419068399248,0.48123746024598324,960,30
run,8-agent homogeneous,investor,"own + shown label, own lag",shown_label,be generous,-0.011272275034578696,-0.02609411438991011,0.0035495643207527176,0.13606974621592735,960,30
run,8-agent homogeneous,investor,"own + shown label, own lag",coop_lag_same_role,,0.05162293238704937,-0.020494938853934573,0.1237408036280333,0.16062628774581555,960,30
run,8-agent homogeneous,investor,"own + shown label, no lag",own_label,be cautious,-0.025550930432506825,-0.05641880471640219,0.005316943851388541,0.10472560297213675,1020,30
