child_family,marker_family,size,group,round,marker_rate_mean,marker_rate_sd,n_myths
Gemini,GPT,2,"mixed, shown other family",3,0.009523809523809525,0.009742173737793552,12
Gemini,GPT,2,"mixed, shown other family",4,0.007482993197278912,0.005172671284187134,12
Gemini,GPT,2,"mixed, shown other family",5,0.009183673469387756,0.007202244506041438,12
Gemini,GPT,2,"mixed, shown other family",6,0.008503401360544218,0.00638481342837155,12
Gemini,GPT,2,"mixed, shown other family",7,0.009523809523809525,0.007245921343661997,12
Gemini,GPT,2,"mixed, shown other family",8,0.00816326530612245,0.007586288794159879,12
Gemini,GPT,2,"mixed, shown other family",9,0.009183673469387756,0.007202244506041438,12
Gemini,GPT,2,"mixed, shown other family",10,0.010204081632653064,0.0068520168135879,12
Gemini,GPT,2,"mixed, round 1 (nothing shown)",1,0.0034013605442176874,0.0045495545226343906,12
Gemini,GPT,8,homogeneous,1,0.0023979591836734695,0.0026534586273117508,80
Gemini,GPT,8,homogeneous,2,0.0025,0.003342774532634692,80
Gemini,GPT,8,homogeneous,3,0.001530612244897959,0.002858618654171611,80
Gemini,GPT,8,homogeneous,4,0.0017857142857142859,0.002585022683265674,80
Gemini,GPT,8,homogeneous,5,0.0010714285714285715,0.002027208572664007,80
Gemini,GPT,8,homogeneous,6,0.0008163265306122449,0.001642953813637968,80
Gemini,GPT,8,homogeneous,7,0.0008673469387755102,0.0022208144278597197,80
Gemini,GPT,8,homogeneous,8,0.0007142857142857144,0.0016904020767371998,80
Gemini,GPT,8,homogeneous,9,0.0008673469387755102,0.001801376127269838,80
Gemini,GPT,8,homogeneous,10,0.000663265306122449,0.0015152505628305538,80
Gemini,GPT,8,"mixed, shown same family",2,0.0010204081632653062,0.0018459878239454918,12
Gemini,GPT,8,"mixed, shown same family",3,0.0030612244897959186,0.0030766463732424866,12
Gemini,GPT,8,"mixed, shown same family",4,0.004336734693877551,0.003485357403387619,16
Gemini,GPT,8,"mixed, shown same family",5,0.0020408163265306124,0.0027518361733193555,12
Gemini,GPT,8,"mixed, shown same family",6,0.003316326530612245,0.0038003824614540106,32
Gemini,GPT,8,"mixed, shown same family",7,0.004081632653061225,0.003921505807471522,40
